date_published,id,type,country,country_code,name,status,admin_year,intersected_area_ha_cumulative,illegality_very_high_affected_area_ha,illegality_very_high_affected_area_pct,illegality_high_affected_area_ha,illegality_high_affected_area_pct,illegality_medium_affected_area_ha,illegality_medium_affected_area_pct,illegality_low_affected_area_ha,illegality_low_affected_area_pct,illegality_na_affected_area_ha,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy
2026-09-22,SR_SR06,subnational_admin,Suriname,SR,Para,,202503,3714.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3714.09,-56.0467491148,4.9900641443,-54.6245727532,5.702995777
2026-09-22,SR_SR09,subnational_admin,Suriname,SR,Sipaliwini,,202503,66545.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66545.5,-58.0865631095,1.831146002,-53.9774932858,5.5580058096
2026-09-22,SR_SR10,subnational_admin,Suriname,SR,Wanica,,202503,0.0,,,,,,,,,0.0,-55.3572425839,5.6579351425,-55.0788421623,5.9415278439
2026-09-22,VE_VE02,subnational_admin,Venezuela,VE,Amazonas,,202503,5277.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5277.48,-67.864110736,0.634573855,-63.34945972,6.197393618
2026-09-22,VE_VE07,subnational_admin,Venezuela,VE,Bolívar,,202503,93439.04,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,93437.57,-67.43995968,3.550454219,-60.272032036,8.443379747
2026-09-22,VE_VE10,subnational_admin,Venezuela,VE,Delta Amacuro,,202503,1379.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.13,-62.611606765,7.753446217,-59.741104277,10.017995086
2026-09-22,BO60001_0,indigenous_territories,Bolivia,BO,Guarayo,TI con reconocimiento oficial,202503,40.48,0.0,0.0,0.0,0.0,0.0,0.0,40.48,1.0,0.0,-63.978375,-16.254277,-62.478244,-14.603315
2026-09-22,BO60006_0,indigenous_territories,Bolivia,BO,Guarayo,TI con reconocimiento solicitado,202503,540.46,540.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63.930086,-16.264286,-62.545672,-14.919772
2026-09-22,BO60034_0,indigenous_territories,Bolivia,BO,Isiboro Secure (TIPNIS),TI con reconocimiento solicitado,202503,17.47,17.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.567291,-16.321775,-65.06805,-15.521677
2026-09-22,BO60068_0,indigenous_territories,Bolivia,BO,Isoso,TI con reconocimiento solicitado,202503,10.09,7.37,0.73,2.72,0.27,0.0,0.0,0.0,0.0,0.0,-63.221626,-20.33526,-61.716944,-17.970233
2026-09-22,BO60005_0,indigenous_territories,Bolivia,BO,Leco de Apolo,TI con reconocimiento solicitado,202503,160.17,160.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.677551,-15.196684,-67.502075,-14.45459
2026-09-22,BO60011_0,indigenous_territories,Bolivia,BO,Leco de Larecaja,TI con reconocimiento solicitado,202503,1030.88,1027.08,0.996,0.0,0.0,0.0,0.0,3.8,0.004,0.0,-67.975228,-15.547583,-67.665421,-15.012344
2026-09-22,BO60012_0,indigenous_territories,Bolivia,BO,Leco de Larecaja,TI con reconocimiento oficial,202503,2337.53,693.4,0.297,59.83,0.026,16.09,0.007,1568.21,0.671,0.0,-68.210112,-15.549009,-67.723188,-15.109831
2026-09-22,BO60003_0,indigenous_territories,Bolivia,BO,Monte Verde,TI con reconocimiento oficial,202503,12.6,0.0,0.0,0.0,0.0,0.0,0.0,12.6,1.0,0.0,-62.62438,-16.154342,-61.545484,-15.000723
2026-09-22,BO60027_0,indigenous_territories,Bolivia,BO,Pilon Lajas,TI con reconocimiento oficial,202503,1.28,1.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.691719,-15.44993,-67.032328,-14.453125
2026-09-22,BO60008_0,indigenous_territories,Bolivia,BO,Takana II,TI con reconocimiento solicitado,202503,17.09,17.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.740928,-12.853161,-67.911785,-11.928802
2026-09-22,BO60010_0,indigenous_territories,Bolivia,BO,Takana III,TI con reconocimiento oficial,202503,21.62,21.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.552092,-14.124496,-67.024044,-13.031778
2026-09-22,BR1101_0,indigenous_territories,Brazil,BR,Alto Rio Negro,Regularizada,202503,10.6,0.0,0.0,10.6,1.0,0.0,0.0,0.0,0.0,0.0,-70.057454,-1.080353,-67.018225,2.24448
2026-09-22,BR68301_0,indigenous_territories,Brazil,BR,Apiaká do Pontal e Isolados,Delimitada,202503,13.36,13.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.562707,-9.167721,-57.665267,-7.345319
2026-09-22,BR3002_0,indigenous_territories,Brazil,BR,Apyterewa,Regularizada,202503,606.2,0.0,0.0,603.45,0.995,0.34,0.001,2.41,0.004,0.0,-52.689576,-6.032251,-51.381167,-5.229535
2026-09-22,BR4201_0,indigenous_territories,Brazil,BR,Aripuanã,Regularizada,202503,774.63,0.0,0.0,774.63,1.0,0.0,0.0,0.0,0.0,0.0,-60.463756,-11.130174,-59.466489,-10.000394
